classi,doc_id,cohesionSyn_m,hauteurPh_m,longPh_m,ageManulex_m,longMotOrtho_m,maas_lemma_i,cycle
X,se1fs02,0.405175102818625,5.41053511705686,17.6613712374582,6.51633986928105,6.43343653250774,5.58759464521212,premier
X,se1fs03,0.461669300936347,4.92626262626263,16.0909090909091,6.68439716312057,6.63486842105263,5.49337735323071,premier
N,se1fs05,0.477979662239812,4.61123595505618,12.2921348314607,6.3719512195122,6.29651162790698,4.96256898956292,premier
N,se1fs06,0.335994889424811,6.06220379146919,23.9875592417062,6.56926952141058,6.58156028368794,5.86103907335995,premier
X,se1fs08,0.421490696730273,4.90675990675991,12.8554778554779,6.55797101449275,6.31292517006803,4.79906067600304,premier
X,se1fs11,0.43824289896272,5.26651480637813,14.9589977220957,6.53703703703704,5.74705882352941,4.94908372032389,premier
X,se1fs12,0.424995433478559,4.45021645021645,10.8268398268398,6.48192771084337,6.21428571428571,4.23913998300349,premier
N,se1gp-2,0.447564044979469,4.74264705882353,15.7704248366013,6.41522491349481,6.10289389067524,5.5289284702925,premier
N,se1gp-4,0.44904832404713,4.75211949939443,14.2971336293904,6.44567219152855,6.35512367491166,6.15450959436897,premier
X,se1gp-5,0.320757362612484,7.18959842001317,25.402896642528,6.65952380952381,7.20867768595041,5.97576014888905,premier
N,se1gp-7,0.40409402734022,5.47941342357586,18.980823463057,6.47087378640777,6.3310502283105,5.89547876420777,premier
N,se1gp-8,0.445452087329958,5.05870020964361,17.0111809923131,6.55945945945946,6.50611246943765,5.82408457992419,premier
N,se1gp-9,0.358893066616457,5.80406899601946,22.4444935869084,6.50545454545455,6.35117056856187,6.21715234920008,premier
X,se1gp10,0.338668653966365,6.52697095435685,28.8215767634855,6.58267716535433,6.93917274939173,5.84348125086188,premier
N,se1gp11,0.440684659913988,5.23938572719061,18.3748870822042,6.53767123287671,6.28343949044586,5.54987710416524,premier
X,se1ll01,0.3332703952183,6.26801801801802,24.0945945945946,6.45985401459854,5.84137931034483,4.85145153527918,premier
X,se1mg01,0.3332703952183,6.26801801801802,24.0945945945946,6.45985401459854,5.84137931034483,4.85145153527918,premier
X,se1mg02,0.335377386222632,6.16113744075829,16.9099526066351,6.27058823529412,5.82954545454545,4.37157370070878,premier
X,se1mg05,0.447940926628934,5.99203187250996,17.6254980079681,6.30526315789474,5.62886597938144,4.35859461153862,premier
X,se1mg06,0.296612975520513,7.12666666666667,24.6177777777778,6.59375,6.1030303030303,4.90357750852259,premier
X,se1mg07,0.309330997230815,7.2,29.9846153846154,6.83018867924528,6.47368421052632,3.86671317961656,premier
N,se1mj-2,0.402686645515872,5.64356435643564,20.4684405940594,6.52796420581655,6.28301886792453,5.98273396255718,premier
N,se1mj-4,0.453700591280366,4.87381404174573,14.2960151802657,6.6583850931677,6.68115942028986,5.65532012995115,premier
N,se1mj-5,0.413993098957735,5.01184668989547,16.9560975609756,6.59029649595687,6.52322738386308,5.8172655898845,premier
N,se1pa-1,0.385325932521664,5.04575163398693,18.0196078431373,6.45192307692308,5.76851851851852,5.18848983181533,premier
N,se1pa-3,0.402221374759919,5.69110493398193,19.8523280055594,6.63720930232558,6.67052023121387,6.36349116030457,premier
N,se1pa-5,0.422980907744375,5.06202480992397,17.2068827531012,6.35067437379576,6.19633027522936,6.12289998154738,premier
N,se1pa-7,0.408343058764848,5.83684527393137,19.6827212522577,6.51860465116279,6.26939655172414,5.95229073775376,premier
N,se1pa-9,0.409343071620408,5.49348441926346,18.8543909348442,6.44124700239808,6.26590909090909,5.89126211169434,premier
N,se1pa13,0.41193927086427,5.27987637362637,18.2932692307692,6.45901639344262,6.39719626168224,6.28123080938975,premier
N,se1pa16,0.312995727167752,7.38021978021978,31.6549450549451,6.45183486238532,6.35371179039301,5.95175463622263,premier
N,se1pa25,0.366167075613214,6.21606285464862,23.5482322130074,6.52408477842004,6.66302367941712,6.15231129025403,premier
X,se1vp06,0.362247015609791,7.16151468315301,29.774343122102,6.75235109717868,6.81766381766382,5.69585845805417,premier
X,se1vp08,0.326032274548428,6.78854024556617,28.2353342428377,6.55555555555556,6.38507462686567,5.66231930195436,premier
X,se1vp11,0.3068426010765,6.98481561822126,31.7028199566161,6.49511400651466,6.51384615384615,5.61454340082509,premier
X,se1vp12,0.37267299901568,6.01438848920863,22.6922462030376,6.50177935943061,6.26460481099656,5.48244043344259,premier
X,se1vp25,0.390604190964782,5.84871244635193,23.0268240343348,6.54320987654321,6.29761904761905,5.39731307326292,premier
